University of Gujrat,5101,1830,41,Gujrat,1990
University of Haripur,6656,2526,80,Haripur,827
University of Health Sciences  Lahore ,5132,1847,45,Lahore,811
University of Karachi,2327,690,6,Karachi,8269
University of Lahore,3644,1201,17,Lahore,3925
University of Malakand,6522,2462,77,Totakan,1884
University of Management and Technology  Lahore,4695,1654,30,Lahore,1597
University of Peshawar,3040,967,12,Peshawar,4290
University of Sargodha,4644,1630,29,Sargodha,3678
University of Science and Technology Bannu,6553,2478,78,Bannu,1784
University of Sindh,3363,1089,13,Jamshoro,2220
University of Swat ,7284,2828,94,Swat,578
University of the Punjab,1240,319,1,Lahore,9740
University of Veterinary and Animal Sciences,5351,1954,48,Lahore,2443
University of Wah ,7352,2857,97,Materials Science,394
Ziauddin University,6152,2291,63,Karachi,1116
